iso3,name,mu,sigma,mu_se,source,source_url,source_year,sample_n,sample_type,quality,notes
SGP,Singapore,575,100,,OECD PISA 2022 mathematics,https://doi.org/10.1787/53f23881-en,2022,5000,students,B,OECD PISA 2022 mathematics country mean; 15-year-olds in school; not IQ.
MAC,Macao,552,100,,OECD PISA 2022 mathematics,https://doi.org/10.1787/53f23881-en,2022,5000,students,B,OECD PISA 2022 mathematics country mean; 15-year-olds in school; not IQ.
TWN,Taiwan,547,100,,OECD PISA 2022 mathematics,https://doi.org/10.1787/53f23881-en,2022,5000,students,B,OECD PISA 2022 mathematics country mean; 15-year-olds in school; not IQ.
HKG,Hong Kong,540,100,,OECD PISA 2022 mathematics,https://doi.org/10.1787/53f23881-en,2022,5000,students,B,OECD PISA 2022 mathematics country mean; 15-year-olds in school; not IQ.
JPN,Japan,536,100,,OECD PISA 2022 mathematics,https://doi.org/10.1787/53f23881-en,2022,5000,students,B,OECD PISA 2022 mathematics country mean; 15-year-olds in school; not IQ.
KOR,South Korea,527,100,,OECD PISA 2022 mathematics,https://doi.org/10.1787/53f23881-en,2022,5000,students,B,OECD PISA 2022 mathematics country mean; 15-year-olds in school; not IQ.
EST,Estonia,510,100,,OECD PISA 2022 mathematics,https://doi.org/10.1787/53f23881-en,2022,5000,students,B,OECD PISA 2022 mathematics country mean; 15-year-olds in school; not IQ.
CHE,Switzerland,508,100,,OECD PISA 2022 mathematics,https://doi.org/10.1787/53f23881-en,2022,5000,students,B,OECD PISA 2022 mathematics country mean; 15-year-olds in school; not IQ.
CAN,Canada,497,100,,OECD PISA 2022 mathematics,https://doi.org/10.1787/53f23881-en,2022,5000,students,B,OECD PISA 2022 mathematics country mean; 15-year-olds in school; not IQ.
NLD,Netherlands,493,100,,OECD PISA 2022 mathematics,https://doi.org/10.1787/53f23881-en,2022,5000,students,B,OECD PISA 2022 mathematics country mean; 15-year-olds in school; not IQ.
IRL,Ireland,492,100,,OECD PISA 2022 mathematics,https://doi.org/10.1787/53f23881-en,2022,5000,students,B,OECD PISA 2022 mathematics country mean; 15-year-olds in school; not IQ.
